ticker,max_dt
ABDA.JK,2025-08-19 15:50:00+07:00
ABMM.JK,2025-08-20 11:57:00+07:00
ACRO.JK,2025-08-20 11:57:00+07:00
ACST.JK,2025-08-20 11:58:00+07:00
ADES.JK,2025-08-20 11:44:00+07:00
ADMF.JK,2025-08-20 11:56:00+07:00
ADMG.JK,2025-08-20 11:28:00+07:00
AEGS.JK,2025-08-20 11:55:00+07:00
AGAR.JK,2025-08-20 11:43:00+07:00
AGII.JK,2025-08-20 11:51:00+07:00
AGRS.JK,2025-08-20 11:57:00+07:00
AIMS.JK,2025-08-20 11:55:00+07:00
AKPI.JK,2025-08-20 10:50:00+07:00
AKSI.JK,2025-08-20 11:51:00+07:00
ALDO.JK,2025-08-20 11:54:00+07:00
ALII.JK,2025-08-20 11:57:00+07:00
ALKA.JK,2025-08-20 11:50:00+07:00
AMAG.JK,2025-08-20 11:53:00+07:00
AMFG.JK,2025-08-20 11:58:00+07:00
AMIN.JK,2025-08-20 11:39:00+07:00
AMMS.JK,2025-08-20 11:58:00+07:00
ANJT.JK,2025-08-20 11:53:00+07:00
APII.JK,2025-08-20 11:54:00+07:00
APLI.JK,2025-08-20 11:34:00+07:00
AREA.JK,2025-08-20 11:57:00+07:00
ARGO.JK,2025-08-20 11:48:00+07:00
ARII.JK,2025-08-20 11:39:00+07:00
ARNA.JK,2025-08-20 11:58:00+07:00
ARTA.JK,2025-08-20 11:52:00+07:00
ASBI.JK,2025-08-20 11:46:00+07:00
ASDM.JK,2025-08-20 11:13:00+07:00
ASGR.JK,2025-08-20 11:43:00+07:00
ASJT.JK,2025-08-20 11:30:00+07:00
ASLI.JK,2025-08-19 15:50:00+07:00
ASRM.JK,2025-08-20 11:04:00+07:00
ATIC.JK,2025-08-20 11:46:00+07:00
AUTO.JK,2025-08-20 11:58:00+07:00
AWAN.JK,2025-08-20 11:56:00+07:00
AXIO.JK,2025-08-20 11:53:00+07:00
BABY.JK,2025-08-20 11:50:00+07:00
BAJA.JK,2025-08-20 11:49:00+07:00
BALI.JK,2025-08-20 11:27:00+07:00
BAPA.JK,2025-08-20 11:51:00+07:00
BATA.JK,2025-08-20 11:55:00+07:00
BAYU.JK,2025-08-20 11:48:00+07:00
BBLD.JK,2025-08-20 11:49:00+07:00
BBMD.JK,2025-08-20 10:09:00+07:00
BBSI.JK,2025-08-19 15:50:00+07:00
BBSS.JK,2025-08-20 11:57:00+07:00
BCIP.JK,2025-08-20 11:56:00+07:00
BDMN.JK,2025-08-20 11:53:00+07:00
BEEF.JK,2025-08-20 11:52:00+07:00
BELI.JK,2025-08-20 11:48:00+07:00
BESS.JK,2025-08-20 11:42:00+07:00
BEST.JK,2025-08-20 11:56:00+07:00
BHAT.JK,2025-08-20 11:14:00+07:00
BINA.JK,2025-08-20 11:00:00+07:00
BISI.JK,2025-08-20 11:51:00+07:00
BJBR.JK,2025-08-20 11:58:00+07:00
BLOG.JK,2025-08-20 11:58:00+07:00
BLTZ.JK,2025-08-20 11:55:00+07:00
BLUE.JK,2025-08-20 11:15:00+07:00
BMAS.JK,2025-08-20 11:55:00+07:00
BMHS.JK,2025-08-20 11:53:00+07:00
BMSR.JK,2025-08-20 10:25:00+07:00
BMTR.JK,2025-08-20 11:58:00+07:00
BNBA.JK,2025-08-20 11:51:00+07:00
BNII.JK,2025-08-20 11:50:00+07:00
BNLI.JK,2025-08-20 11:53:00+07:00
BOAT.JK,2025-08-20 11:53:00+07:00
BOBA.JK,2025-08-20 11:43:00+07:00
BOGA.JK,2025-08-20 11:53:00+07:00
BOLA.JK,2025-08-20 11:58:00+07:00
BOLT.JK,2025-08-20 11:56:00+07:00
BPFI.JK,2025-08-20 10:57:00+07:00
BPII.JK,2025-08-20 11:39:00+07:00
BPTR.JK,2025-08-20 11:49:00+07:00
BRAM.JK,2025-08-20 11:48:00+07:00
BSML.JK,2025-08-20 11:58:00+07:00
BSSR.JK,2025-08-20 11:56:00+07:00
BSWD.JK,2025-08-19 15:50:00+07:00
BTON.JK,2025-08-20 11:17:00+07:00
BTPN.JK,2025-08-20 11:58:00+07:00
BUAH.JK,2025-08-20 11:54:00+07:00
BUDI.JK,2025-08-20 11:14:00+07:00
BUKK.JK,2025-08-20 11:56:00+07:00
BUVA.JK,2025-08-20 11:55:00+07:00
BVIC.JK,2025-08-20 11:57:00+07:00
BYAN.JK,2025-08-20 11:56:00+07:00
CAKK.JK,2025-08-20 11:54:00+07:00
CAMP.JK,2025-08-20 11:58:00+07:00
CARE.JK,2025-08-20 11:58:00+07:00
CASA.JK,2025-08-20 11:19:00+07:00
CASH.JK,2025-08-20 11:57:00+07:00
CASS.JK,2025-08-20 11:55:00+07:00
CBPE.JK,2025-08-20 11:58:00+07:00
CBRE.JK,2025-08-19 15:50:00+07:00
CBUT.JK,2025-08-20 11:36:00+07:00
CCSI.JK,2025-08-20 11:40:00+07:00
CEKA.JK,2025-08-20 11:45:00+07:00
CFIN.JK,2025-08-20 11:58:00+07:00
CHIP.JK,2025-08-20 11:58:00+07:00
CINT.JK,2025-08-20 11:34:00+07:00
CITA.JK,2025-08-20 11:53:00+07:00
CLAY.JK,2025-08-20 11:40:00+07:00
CLPI.JK,2025-08-20 11:47:00+07:00
CMNP.JK,2025-08-20 11:58:00+07:00
CMNT.JK,2025-08-20 11:58:00+07:00
CMPP.JK,2025-08-20 11:55:00+07:00
CNKO.JK,2025-08-20 11:55:00+07:00
COCO.JK,2025-08-19 15:50:00+07:00
CRAB.JK,2025-08-20 11:47:00+07:00
CRSN.JK,2025-08-20 11:46:00+07:00
CSAP.JK,2025-08-20 11:56:00+07:00
CSMI.JK,2025-08-19 15:50:00+07:00
CSRA.JK,2025-08-20 11:58:00+07:00
CTBN.JK,2025-08-20 11:55:00+07:00
DAAZ.JK,2025-08-20 11:53:00+07:00
DART.JK,2025-08-20 11:58:00+07:00
DCII.JK,2025-08-20 11:39:00+07:00
DEPO.JK,2025-08-20 11:58:00+07:00
DFAM.JK,2025-08-20 11:39:00+07:00
DGIK.JK,2025-08-20 11:56:00+07:00
DGNS.JK,2025-08-20 11:56:00+07:00
DGWG.JK,2025-08-20 11:51:00+07:00
DILD.JK,2025-08-20 11:58:00+07:00
DLTA.JK,2025-08-20 11:57:00+07:00
DMAS.JK,2025-08-20 11:58:00+07:00
DMND.JK,2025-08-20 11:32:00+07:00
DNAR.JK,2025-08-20 11:54:00+07:00
DNET.JK,2025-08-20 11:44:00+07:00
DOID.JK,2025-08-20 11:56:00+07:00
DOSS.JK,2025-08-20 11:32:00+07:00
DPNS.JK,2025-08-20 11:48:00+07:00
DRMA.JK,2025-08-20 11:53:00+07:00
DSFI.JK,2025-08-20 11:58:00+07:00
DUTI.JK,2025-08-20 11:55:00+07:00
DVLA.JK,2025-08-20 11:06:00+07:00
DWGL.JK,2025-08-20 11:50:00+07:00
EAST.JK,2025-08-20 11:57:00+07:00
EDGE.JK,2025-08-20 11:27:00+07:00
EKAD.JK,2025-08-20 11:57:00+07:00
ELPI.JK,2025-08-20 11:51:00+07:00
ENAK.JK,2025-08-20 11:30:00+07:00
EPMT.JK,2025-08-20 11:16:00+07:00
ERAL.JK,2025-08-20 11:58:00+07:00
ESTA.JK,2025-08-20 11:53:00+07:00
EURO.JK,2025-08-20 11:54:00+07:00
FAPA.JK,2025-08-20 11:11:00+07:00
FAST.JK,2025-08-20 11:56:00+07:00
FIMP.JK,2025-08-19 15:50:00+07:00
FITT.JK,2025-08-20 11:57:00+07:00
FLMC.JK,2025-08-20 11:52:00+07:00
FMII.JK,2025-08-20 11:48:00+07:00
FOLK.JK,2025-08-20 11:57:00+07:00
FOOD.JK,2025-08-20 11:55:00+07:00
FORE.JK,2025-08-20 11:58:00+07:00
FORU.JK,2025-08-20 11:54:00+07:00
FPNI.JK,2025-08-20 11:41:00+07:00
FUTR.JK,2025-08-19 15:50:00+07:00
FWCT.JK,2025-08-20 11:56:00+07:00
GDST.JK,2025-08-20 11:54:00+07:00
GDYR.JK,2025-08-20 11:22:00+07:00
GEMS.JK,2025-08-20 11:50:00+07:00
GHON.JK,2025-08-20 11:46:00+07:00
GIAA.JK,2025-08-20 11:55:00+07:00
GJTL.JK,2025-08-20 11:58:00+07:00
GLOB.JK,2025-08-20 11:55:00+07:00
GLVA.JK,2025-08-20 11:44:00+07:00
GMFI.JK,2025-08-20 11:55:00+07:00
GOLD.JK,2025-08-20 11:55:00+07:00
GOOD.JK,2025-08-20 11:44:00+07:00
GPSO.JK,2025-08-20 11:56:00+07:00
GRIA.JK,2025-08-20 11:52:00+07:00
GTBO.JK,2025-08-20 11:57:00+07:00
GTRA.JK,2025-08-20 11:56:00+07:00
GULA.JK,2025-08-20 11:51:00+07:00
GUNA.JK,2025-08-20 11:51:00+07:00
GWSA.JK,2025-08-20 11:28:00+07:00
HAIS.JK,2025-08-20 11:54:00+07:00
HATM.JK,2025-08-20 11:54:00+07:00
HBAT.JK,2025-08-20 11:58:00+07:00
HELI.JK,2025-08-20 11:06:00+07:00
HERO.JK,2025-08-20 11:53:00+07:00
HEXA.JK,2025-08-20 11:57:00+07:00
HGII.JK,2025-08-20 11:52:00+07:00
HILL.JK,2025-08-20 11:57:00+07:00
HOKI.JK,2025-08-20 11:48:00+07:00
HOMI.JK,2025-08-20 11:36:00+07:00
HOPE.JK,2025-08-19 15:50:00+07:00
HUMI.JK,2025-08-20 11:58:00+07:00
HYGN.JK,2025-08-20 11:58:00+07:00
IATA.JK,2025-08-20 11:55:00+07:00
IBST.JK,2025-08-20 10:55:00+07:00
IDEA.JK,2025-08-20 11:56:00+07:00
IDPR.JK,2025-08-20 11:32:00+07:00
IFII.JK,2025-08-20 11:45:00+07:00
IFSH.JK,2025-08-20 11:47:00+07:00
IGAR.JK,2025-08-20 11:01:00+07:00
IKPM.JK,2025-08-20 11:33:00+07:00
IMPC.JK,2025-08-19 15:50:00+07:00
INAI.JK,2025-08-20 11:40:00+07:00
INCI.JK,2025-08-20 11:33:00+07:00
INDO.JK,2025-08-20 11:36:00+07:00
INDR.JK,2025-08-20 11:41:00+07:00
INDS.JK,2025-08-20 11:32:00+07:00
INDX.JK,2025-08-20 11:49:00+07:00
INOV.JK,2025-08-20 11:25:00+07:00
INPP.JK,2025-08-20 11:58:00+07:00
INPS.JK,2025-08-20 11:55:00+07:00
INRU.JK,2025-08-20 11:56:00+07:00
INTD.JK,2025-08-20 11:51:00+07:00
IPAC.JK,2025-08-20 11:16:00+07:00
IPCC.JK,2025-08-20 11:52:00+07:00
IPCM.JK,2025-08-20 11:51:00+07:00
IPOL.JK,2025-08-20 11:47:00+07:00
IRRA.JK,2025-08-20 11:57:00+07:00
IRSX.JK,2025-08-19 15:50:00+07:00
ISSP.JK,2025-08-20 11:57:00+07:00
ITMA.JK,2025-08-20 11:49:00+07:00
JATI.JK,2025-08-20 11:58:00+07:00
JAWA.JK,2025-08-20 11:57:00+07:00
JAYA.JK,2025-08-20 11:30:00+07:00
JECC.JK,2025-08-20 11:38:00+07:00
JMAS.JK,2025-08-20 11:58:00+07:00
JSPT.JK,2025-08-20 11:13:00+07:00
JTPE.JK,2025-08-20 11:48:00+07:00
KAEF.JK,2025-08-20 11:43:00+07:00
KARW.JK,2025-08-20 11:55:00+07:00
KBLI.JK,2025-08-20 11:36:00+07:00
KDSI.JK,2025-08-20 10:25:00+07:00
KDTN.JK,2025-08-20 10:56:00+07:00
KEEN.JK,2025-08-20 11:58:00+07:00
KETR.JK,2025-08-20 11:56:00+07:00
KICI.JK,2025-08-20 11:47:00+07:00
KING.JK,2025-08-20 11:12:00+07:00
KINO.JK,2025-08-20 11:56:00+07:00
KLIN.JK,2025-08-20 11:42:00+07:00
KMDS.JK,2025-08-20 11:56:00+07:00
KMTR.JK,2025-08-20 11:53:00+07:00
KOBX.JK,2025-08-20 11:55:00+07:00
KOIN.JK,2025-08-20 11:55:00+07:00
KONI.JK,2025-08-20 11:30:00+07:00
KOPI.JK,2025-08-20 11:47:00+07:00
KSIX.JK,2025-08-20 11:56:00+07:00
KUAS.JK,2025-08-20 11:56:00+07:00
LABS.JK,2025-08-20 11:47:00+07:00
LAPD.JK,2025-08-20 11:55:00+07:00
LCKM.JK,2025-08-20 11:35:00+07:00
LEAD.JK,2025-08-20 11:57:00+07:00
LFLO.JK,2025-08-20 11:46:00+07:00
LIFE.JK,2025-08-19 15:50:00+07:00
LINK.JK,2025-08-20 11:55:00+07:00
LION.JK,2025-08-20 10:59:00+07:00
LIVE.JK,2025-08-20 11:58:00+07:00
LMAX.JK,2025-08-20 11:54:00+07:00
LMPI.JK,2025-08-20 11:39:00+07:00
LOPI.JK,2025-08-20 11:53:00+07:00
LPGI.JK,2025-08-20 11:45:00+07:00
LPIN.JK,2025-08-20 11:58:00+07:00
LPLI.JK,2025-08-20 11:58:00+07:00
LRNA.JK,2025-08-20 11:17:00+07:00
LTLS.JK,2025-08-20 11:46:00+07:00
LUCY.JK,2025-08-20 11:54:00+07:00
MAIN.JK,2025-08-20 11:57:00+07:00
MAPB.JK,2025-08-20 11:16:00+07:00
MARK.JK,2025-08-20 11:55:00+07:00
MASB.JK,2025-08-20 11:41:00+07:00
MAXI.JK,2025-08-20 11:56:00+07:00
MBAP.JK,2025-08-20 11:49:00+07:00
MBSS.JK,2025-08-20 11:58:00+07:00
MBTO.JK,2025-08-20 11:52:00+07:00
MCAS.JK,2025-08-20 11:57:00+07:00
MDIY.JK,2025-08-20 11:43:00+07:00
MDKI.JK,2025-08-20 11:55:00+07:00
MDLA.JK,2025-08-20 11:58:00+07:00
MEDS.JK,2025-08-20 11:57:00+07:00
MEGA.JK,2025-08-20 11:45:00+07:00
MERK.JK,2025-08-20 11:57:00+07:00
MFIN.JK,2025-08-20 11:46:00+07:00
MGLV.JK,2025-08-20 11:58:00+07:00
MGRO.JK,2025-08-20 11:58:00+07:00
MHKI.JK,2025-08-20 11:48:00+07:00
MICE.JK,2025-08-20 11:40:00+07:00
MINA.JK,2025-08-20 11:55:00+07:00
MITI.JK,2025-08-20 11:50:00+07:00
MKAP.JK,2025-08-20 11:52:00+07:00
MKPI.JK,2025-08-20 11:28:00+07:00
MKTR.JK,2025-08-20 11:47:00+07:00
MLBI.JK,2025-08-20 11:43:00+07:00
MLIA.JK,2025-08-20 11:58:00+07:00
MMIX.JK,2025-08-20 11:50:00+07:00
MMLP.JK,2025-08-20 11:57:00+07:00
MOLI.JK,2025-08-20 11:48:00+07:00
MORA.JK,2025-08-20 11:55:00+07:00
MPRO.JK,2025-08-20 11:56:00+07:00
MRAT.JK,2025-08-20 11:57:00+07:00
MREI.JK,2025-08-20 11:54:00+07:00
MSJA.JK,2025-08-20 11:04:00+07:00
MSTI.JK,2025-08-20 11:54:00+07:00
MTDL.JK,2025-08-20 11:51:00+07:00
MTLA.JK,2025-08-20 11:54:00+07:00
MUTU.JK,2025-08-20 11:52:00+07:00
MYOR.JK,2025-08-20 11:58:00+07:00
NASI.JK,2025-08-20 11:58:00+07:00
NATO.JK,2025-08-20 11:19:00+07:00
NAYZ.JK,2025-08-20 11:56:00+07:00
NELY.JK,2025-08-20 11:33:00+07:00
NEST.JK,2025-08-20 11:56:00+07:00
NETV.JK,2025-08-20 11:57:00+07:00
NFCX.JK,2025-08-20 11:55:00+07:00
NICK.JK,2025-08-20 11:46:00+07:00
NIKL.JK,2025-08-20 11:58:00+07:00
NPGF.JK,2025-08-20 11:56:00+07:00
NSSS.JK,2025-08-20 11:57:00+07:00
NZIA.JK,2025-08-20 11:56:00+07:00
OASA.JK,2025-08-20 11:56:00+07:00
OBMD.JK,2025-08-20 11:56:00+07:00
OILS.JK,2025-08-20 11:53:00+07:00
OKAS.JK,2025-08-20 11:58:00+07:00
OMED.JK,2025-08-20 11:54:00+07:00
OMRE.JK,2025-08-20 09:55:00+07:00
OPMS.JK,2025-08-20 11:58:00+07:00
PADI.JK,2025-08-20 11:55:00+07:00
PALM.JK,2025-08-20 11:43:00+07:00
PDES.JK,2025-08-20 11:55:00+07:00
PDPP.JK,2025-08-20 11:58:00+07:00
PEGE.JK,2025-08-20 11:36:00+07:00
PEHA.JK,2025-08-20 11:54:00+07:00
PEVE.JK,2025-08-20 11:57:00+07:00
PGLI.JK,2025-08-20 11:48:00+07:00
PGUN.JK,2025-08-20 11:55:00+07:00
PIPA.JK,2025-08-20 11:55:00+07:00
PJAA.JK,2025-08-20 11:41:00+07:00
PKPK.JK,2025-08-20 11:55:00+07:00
PMJS.JK,2025-08-20 11:48:00+07:00
PMMP.JK,2025-08-19 15:50:00+07:00
PMUI.JK,2025-08-20 11:55:00+07:00
PNBN.JK,2025-08-20 11:57:00+07:00
PNGO.JK,2025-08-20 11:57:00+07:00
PNIN.JK,2025-08-20 11:39:00+07:00
PNSE.JK,2025-08-20 11:22:00+07:00
POLI.JK,2025-08-20 09:55:00+07:00
PORT.JK,2025-08-20 11:37:00+07:00
POWR.JK,2025-08-20 11:58:00+07:00
PPGL.JK,2025-08-20 11:57:00+07:00
PRAY.JK,2025-08-20 11:29:00+07:00
PRDA.JK,2025-08-20 11:39:00+07:00
PSAT.JK,2025-08-20 11:57:00+07:00
PSDN.JK,2025-08-20 11:52:00+07:00
PSGO.JK,2025-08-20 11:57:00+07:00
PSKT.JK,2025-08-20 11:55:00+07:00
PSSI.JK,2025-08-20 11:56:00+07:00
PTIS.JK,2025-08-20 11:01:00+07:00
PTPP.JK,2025-08-20 11:56:00+07:00
PTPW.JK,2025-08-19 15:50:00+07:00
PTSP.JK,2025-08-20 11:28:00+07:00
PUDP.JK,2025-08-20 11:58:00+07:00
PURI.JK,2025-08-20 11:56:00+07:00
PYFA.JK,2025-08-19 15:50:00+07:00
RAAM.JK,2025-08-20 11:55:00+07:00
RALS.JK,2025-08-20 11:53:00+07:00
RANC.JK,2025-08-20 11:56:00+07:00
RCCC.JK,2025-08-20 11:54:00+07:00
RDTX.JK,2025-08-20 11:25:00+07:00
RELI.JK,2025-08-20 11:54:00+07:00
RGAS.JK,2025-08-20 11:45:00+07:00
RIGS.JK,2025-08-20 11:56:00+07:00
RISE.JK,2025-08-20 11:36:00+07:00
RMKE.JK,2025-08-20 11:58:00+07:00
RMKO.JK,2025-08-20 11:41:00+07:00
ROCK.JK,2025-08-19 15:50:00+07:00
RSCH.JK,2025-08-20 11:51:00+07:00
RUIS.JK,2025-08-20 11:57:00+07:00
SAME.JK,2025-08-20 11:57:00+07:00
SAMF.JK,2025-08-20 11:37:00+07:00
SAPX.JK,2025-08-20 11:58:00+07:00
SCCO.JK,2025-08-20 11:49:00+07:00
SCNP.JK,2025-08-20 10:43:00+07:00
SDPC.JK,2025-08-20 11:30:00+07:00
SDRA.JK,2025-08-20 11:55:00+07:00
SEMA.JK,2025-08-20 11:51:00+07:00
SFAN.JK,2025-08-20 11:21:00+07:00
SHID.JK,2025-08-20 11:52:00+07:00
SHIP.JK,2025-08-20 11:52:00+07:00
SICO.JK,2025-08-20 11:53:00+07:00
SILO.JK,2025-08-20 11:53:00+07:00
SINI.JK,2025-08-20 11:55:00+07:00
SIPD.JK,2025-08-20 10:55:00+07:00
SKBM.JK,2025-08-20 11:44:00+07:00
SKLT.JK,2025-08-20 11:54:00+07:00
SKRN.JK,2025-08-20 11:48:00+07:00
SMDM.JK,2025-08-20 11:58:00+07:00
SMKL.JK,2025-08-20 11:27:00+07:00
SMKM.JK,2025-08-20 11:54:00+07:00
SMMA.JK,2025-08-20 11:47:00+07:00
SNLK.JK,2025-08-20 11:51:00+07:00
SOCI.JK,2025-08-20 11:42:00+07:00
SOHO.JK,2025-08-20 11:45:00+07:00
SONA.JK,2025-08-20 11:57:00+07:00
SOSS.JK,2025-08-20 11:58:00+07:00
SOTS.JK,2025-08-20 11:46:00+07:00
SOUL.JK,2025-08-20 11:54:00+07:00
SPRE.JK,2025-08-20 11:56:00+07:00
SPTO.JK,2025-08-20 11:56:00+07:00
SRAJ.JK,2025-08-20 11:53:00+07:00
SRSN.JK,2025-08-20 11:56:00+07:00
STRK.JK,2025-08-20 11:58:00+07:00
STTP.JK,2025-08-20 11:12:00+07:00
SULI.JK,2025-08-20 11:56:00+07:00
SUNI.JK,2025-08-20 11:57:00+07:00
SURE.JK,2025-08-20 11:49:00+07:00
TALF.JK,2025-08-20 11:41:00+07:00
TAYS.JK,2025-08-20 11:58:00+07:00
TBIG.JK,2025-08-20 11:54:00+07:00
TBMS.JK,2025-08-20 11:51:00+07:00
TCID.JK,2025-08-20 11:43:00+07:00
TFAS.JK,2025-08-20 11:52:00+07:00
TFCO.JK,2025-08-19 15:50:00+07:00
TGKA.JK,2025-08-19 15:50:00+07:00
TGUK.JK,2025-08-19 15:50:00+07:00
TIFA.JK,2025-08-20 11:32:00+07:00
TIRA.JK,2025-08-20 11:54:00+07:00
TMPO.JK,2025-08-20 11:58:00+07:00
TOOL.JK,2025-08-20 11:57:00+07:00
TOSK.JK,2025-08-20 11:58:00+07:00
TOTL.JK,2025-08-20 11:53:00+07:00
TOTO.JK,2025-08-20 11:43:00+07:00
TPMA.JK,2025-08-20 11:57:00+07:00
TRGU.JK,2025-08-20 11:54:00+07:00
TRIM.JK,2025-08-20 11:53:00+07:00
TRIN.JK,2025-08-20 11:56:00+07:00
TRIS.JK,2025-08-20 11:13:00+07:00
TRJA.JK,2025-08-20 11:54:00+07:00
TRON.JK,2025-08-20 11:58:00+07:00
TRST.JK,2025-08-20 11:44:00+07:00
TRUK.JK,2025-08-20 11:50:00+07:00
TRUS.JK,2025-08-20 11:56:00+07:00
TUGU.JK,2025-08-20 11:58:00+07:00
TYRE.JK,2025-08-20 11:39:00+07:00
UANG.JK,2025-08-20 11:54:00+07:00
UCID.JK,2025-08-20 11:52:00+07:00
UDNG.JK,2025-08-20 11:49:00+07:00
UFOE.JK,2025-08-20 11:57:00+07:00
UNIC.JK,2025-08-19 15:50:00+07:00
UNSP.JK,2025-08-20 11:55:00+07:00
UNTD.JK,2025-08-20 11:51:00+07:00
URBN.JK,2025-08-20 11:45:00+07:00
UVCR.JK,2025-08-20 11:58:00+07:00
VAST.JK,2025-08-20 11:58:00+07:00
VERN.JK,2025-08-20 11:55:00+07:00
VICO.JK,2025-08-20 11:50:00+07:00
VINS.JK,2025-08-20 11:51:00+07:00
VISI.JK,2025-08-20 11:58:00+07:00
VKTR.JK,2025-08-20 11:58:00+07:00
VOKS.JK,2025-08-20 11:13:00+07:00
VRNA.JK,2025-08-20 11:57:00+07:00
VTNY.JK,2025-08-20 11:58:00+07:00
WAPO.JK,2025-08-20 11:54:00+07:00
WEHA.JK,2025-08-20 11:55:00+07:00
WGSH.JK,2025-08-20 11:55:00+07:00
WINE.JK,2025-08-20 11:52:00+07:00
WOMF.JK,2025-08-20 11:39:00+07:00
WOOD.JK,2025-08-20 11:55:00+07:00
WOWS.JK,2025-08-20 11:55:00+07:00
YOII.JK,2025-08-20 11:39:00+07:00
YPAS.JK,2025-08-19 15:50:00+07:00
YULE.JK,2025-08-20 09:08:00+07:00
ZBRA.JK,2025-08-19 15:50:00+07:00
ZONE.JK,2025-08-20 11:22:00+07:00
ZYRX.JK,2025-08-20 11:57:00+07:00
