ticker,gran,price,prob_ara_today,prob_ara_today_adj,ara_target_pct,day_roc,prox,coverage,rvol30,cr,breakout,mleft,regime_score
BELL.JK,1m,70.0,81.2,81.2,35.0,0.3208,0.916,0.0,141.22,1.0,False,0,0.5
LIFE.JK,1m,8250.0,80.2,80.2,20.0,0.1661,0.83,0.049,3.71,1.0,False,0,0.5
KAQI.JK,1m,67.0,76.7,76.7,35.0,0.34,0.971,0.0,2.09,1.0,False,0,0.5
DKHH.JK,1m,131.0,75.0,75.0,35.0,0.2358,0.674,0.014,11.08,1.0,False,0,0.5
GEMA.JK,1m,124.0,75.0,75.0,35.0,0.24,0.686,0.0,32.6,1.0,False,0,0.5
PNSE.JK,1m,875.0,72.0,72.0,25.0,0.1905,0.762,0.0,2.32,1.0,False,0,0.5
IMPC.JK,1m,825.0,69.7,69.7,25.0,0.1301,0.521,0.0,15.2,1.0,False,0,0.5
CRSN.JK,1m,136.0,64.9,64.9,35.0,0.1333,0.381,0.002,19.15,1.0,False,0,0.5
EURO.JK,1m,246.0,64.1,64.1,25.0,0.0885,0.354,0.01,31.55,1.0,False,0,0.5
MTMH.JK,1m,905.0,63.2,63.2,25.0,0.0112,0.045,0.002,2.66,1.0,True,0,0.5
SOHO.JK,1m,755.0,62.8,62.8,25.0,0.0786,0.314,0.016,7.11,1.0,False,0,0.5
ATLA.JK,1m,55.0,61.2,61.2,35.0,0.1,0.286,0.0,132.32,1.0,False,0,0.5
MAXI.JK,1m,56.0,61.0,61.0,35.0,0.098,0.28,0.0,10.6,1.0,False,0,0.5
CHEM.JK,1m,106.0,60.4,60.4,35.0,0.0928,0.265,0.0,4.17,1.0,False,0,0.5
MKAP.JK,1m,366.0,60.1,60.1,25.0,0.064,0.256,0.0,5.51,1.0,False,0,0.5
UDNG.JK,1m,1600.0,59.7,59.7,25.0,0.0997,0.399,0.001,2.38,1.0,False,0,0.5
AUTO.JK,1m,2310.0,58.7,58.7,25.0,0.0548,0.219,0.001,5.15,1.0,False,0,0.5
TRUK.JK,1m,158.0,58.5,58.5,35.0,0.0748,0.214,0.0,3.74,1.0,False,0,0.5
AMMS.JK,1m,169.0,58.1,58.1,35.0,0.0974,0.278,0.0,2.71,1.0,False,0,0.5
BBTN.JK,1m,1335.0,56.8,56.8,25.0,0.043,0.172,0.0,4.52,1.0,False,0,0.5
PYFA.JK,1m,545.0,56.1,56.1,25.0,0.0381,0.152,0.0,6.94,1.0,False,0,0.5
AREA.JK,1m,525.0,55.8,55.8,25.0,0.1123,0.449,0.0,1.79,1.0,False,0,0.5
ASRI.JK,1m,173.0,55.7,55.7,35.0,0.0485,0.139,0.004,7.17,1.0,False,0,0.5
MLPT.JK,1m,66750.0,55.4,55.4,20.0,0.0273,0.137,0.0,5.33,1.0,False,0,0.5
VAST.JK,1m,166.0,55.1,55.1,35.0,0.044,0.126,0.001,9.89,1.0,False,0,0.5
LRNA.JK,1m,175.0,54.9,54.9,35.0,0.0417,0.119,0.004,9.77,1.0,False,0,0.5
ACRO.JK,1m,76.0,54.8,54.8,35.0,0.0411,0.117,0.003,3.21,1.0,False,0,0.5
SMRA.JK,1m,458.0,54.3,54.3,25.0,0.0269,0.108,0.0,3.35,1.0,False,0,0.5
SRSN.JK,1m,56.0,54.2,54.2,35.0,0.037,0.106,0.0,6.52,1.0,False,0,0.5
PSDN.JK,1m,86.0,54.1,54.1,35.0,0.0361,0.103,0.0,5.61,1.0,False,0,0.5
TINS.JK,1m,1040.0,53.9,53.9,25.0,0.0297,0.119,0.0,2.92,1.0,False,0,0.5
DILD.JK,1m,137.0,53.5,53.5,35.0,0.0301,0.086,0.003,5.45,1.0,False,0,0.5
OILS.JK,1m,140.0,53.4,53.4,35.0,0.037,0.106,0.0,2.91,1.0,False,0,0.5
MAPI.JK,1m,1250.0,53.2,53.2,25.0,0.0331,0.132,0.001,2.78,1.0,False,0,0.5
TRIS.JK,1m,188.0,53.2,53.2,35.0,0.0273,0.078,0.003,6.72,1.0,False,0,0.5
KJEN.JK,1m,109.0,53.2,53.2,35.0,0.0283,0.081,0.0,3.56,1.0,False,0,0.5
BPFI.JK,1m,336.0,52.9,52.9,25.0,0.0182,0.073,0.0,11.44,1.0,False,0,0.5
GUNA.JK,1m,244.0,52.7,52.7,25.0,0.0167,0.067,0.0,3.09,1.0,False,0,0.5
AALI.JK,1m,7150.0,52.6,52.6,20.0,0.0142,0.071,0.001,2.97,1.0,False,0,0.5
HOMI.JK,1m,200.0,52.4,52.4,25.0,0.0152,0.061,0.0,3.44,1.0,False,0,0.5
IKAN.JK,1m,147.0,52.3,52.3,35.0,0.1395,0.399,0.004,1.62,1.0,False,0,0.5
ITMA.JK,1m,765.0,52.2,52.2,25.0,0.0132,0.053,0.004,36.55,1.0,False,0,0.5
BSBK.JK,1m,53.0,52.2,52.2,35.0,0.0392,0.112,0.0,2.77,1.0,False,0,0.5
KDSI.JK,1m,474.0,52.1,52.1,25.0,0.0085,0.034,0.021,11.76,1.0,False,9,0.5
PSAT.JK,1m,1600.0,52.0,52.0,25.0,0.0127,0.051,0.0,4.35,1.0,False,0,0.5
SMIL.JK,1m,386.0,51.8,51.8,25.0,0.0158,0.063,0.0,2.93,1.0,False,0,0.5
JMAS.JK,1m,148.0,51.6,51.6,35.0,0.0137,0.039,0.0,4.35,1.0,False,0,0.5
JKON.JK,1m,99.0,51.2,51.2,35.0,0.0102,0.029,0.0,3.18,1.0,False,0,0.5
JRPT.JK,1m,750.0,51.1,51.1,25.0,0.0067,0.027,0.002,4.14,1.0,False,0,0.5
LABS.JK,1m,139.0,50.7,50.7,35.0,0.0072,0.021,0.0,2.99,1.0,False,0,0.5
ALDO.JK,1m,498.0,50.6,50.6,25.0,0.004,0.016,0.0,12.51,1.0,False,0,0.5
FLMC.JK,1m,71.0,50.5,50.5,35.0,0.0923,0.264,0.0,1.99,1.0,False,0,0.5
PWON.JK,1m,390.0,50.4,50.4,25.0,0.0104,0.041,0.0,2.87,1.0,False,0,0.5
INTP.JK,1m,6450.0,50.2,50.2,20.0,-0.0077,0.0,0.006,4.39,1.0,False,0,0.5
CSMI.JK,1m,412.0,50.1,50.1,25.0,-0.0096,0.0,0.003,29.31,1.0,False,0,0.5
HILL.JK,1m,206.0,50.1,50.1,25.0,0.0,0.0,0.003,14.93,1.0,False,0,0.5
TNCA.JK,1m,183.0,50.1,50.1,35.0,-0.0941,0.0,0.002,4.69,1.0,False,0,0.5
GPRA.JK,1m,148.0,50.1,50.1,35.0,-0.039,0.0,0.002,3.33,1.0,False,0,0.5
PPRE.JK,1m,118.0,50.1,50.1,35.0,-0.1061,0.0,0.004,17.39,1.0,False,0,0.5
KICI.JK,1m,116.0,50.1,50.1,35.0,0.0,0.0,0.002,4.21,1.0,False,0,0.5
PEGE.JK,1m,115.0,50.1,50.1,35.0,-0.0171,0.0,0.002,4.9,1.0,False,0,0.5
BYAN.JK,1m,18300.0,50.0,50.0,20.0,0.0,0.0,0.0,3.07,1.0,False,0,0.5
DNET.JK,1m,9375.0,50.0,50.0,20.0,-0.0132,0.0,0.0,3.93,1.0,False,0,0.5
MEGA.JK,1m,3290.0,50.0,50.0,25.0,-0.015,0.0,0.0,5.7,1.0,False,0,0.5
RAJA.JK,1m,2970.0,50.0,50.0,25.0,-0.045,0.0,0.0,3.13,1.0,False,0,0.5
SGRO.JK,1m,2960.0,50.0,50.0,25.0,-0.01,0.0,0.0,6.3,1.0,False,0,0.5
TCID.JK,1m,2450.0,50.0,50.0,25.0,-0.02,0.0,0.0,6.57,1.0,False,0,0.5
ISAT.JK,1m,2260.0,50.0,50.0,25.0,-0.0259,0.0,0.0,4.81,1.0,False,0,0.5
DLTA.JK,1m,1990.0,50.0,50.0,25.0,-0.0149,0.0,0.0,5.13,1.0,False,0,0.5
ANJT.JK,1m,1750.0,50.0,50.0,25.0,-0.0057,0.0,0.0,9.38,1.0,False,0,0.5
ASSA.JK,1m,905.0,50.0,50.0,25.0,-0.0573,0.0,0.0,3.13,1.0,False,0,0.5
BUKK.JK,1m,825.0,50.0,50.0,25.0,0.0,0.0,0.0,3.74,1.0,False,0,0.5
AMOR.JK,1m,505.0,50.0,50.0,25.0,0.0,0.0,0.0,9.83,1.0,False,0,0.5
MICE.JK,1m,496.0,50.0,50.0,25.0,-0.0178,0.0,0.0,4.77,1.0,False,0,0.5
HERO.JK,1m,406.0,50.0,50.0,25.0,-0.0098,0.0,0.0,5.49,1.0,False,0,0.5
BLUE.JK,1m,312.0,50.0,50.0,25.0,-0.0064,0.0,0.0,3.93,1.0,False,0,0.5
ARII.JK,1m,262.0,50.0,50.0,25.0,-0.0076,0.0,0.0,3.82,1.0,False,0,0.5
NIKL.JK,1m,234.0,50.0,50.0,25.0,-0.025,0.0,0.0,3.11,1.0,False,0,0.5
SAFE.JK,1m,204.0,50.0,50.0,25.0,0.0,0.0,0.0,8.96,1.0,False,0,0.5
PZZA.JK,1m,188.0,50.0,50.0,35.0,0.0,0.0,0.001,4.79,1.0,False,0,0.5
BOBA.JK,1m,185.0,50.0,50.0,35.0,-0.0107,0.0,0.0,3.33,1.0,False,0,0.5
UFOE.JK,1m,171.0,50.0,50.0,35.0,-0.0058,0.0,0.001,10.54,1.0,False,0,0.5
ZYRX.JK,1m,162.0,50.0,50.0,35.0,-0.0357,0.0,0.0,3.86,1.0,False,0,0.5
DOOH.JK,1m,146.0,50.0,50.0,35.0,-0.0759,0.0,0.0,3.74,1.0,False,0,0.5
VISI.JK,1m,138.0,50.0,50.0,35.0,-0.0143,0.0,0.0,6.68,1.0,False,0,0.5
URBN.JK,1m,129.0,50.0,50.0,35.0,-0.0227,0.0,0.0,4.31,1.0,False,0,0.5
TYRE.JK,1m,127.0,50.0,50.0,35.0,0.0,0.0,0.0,3.01,1.0,False,0,0.5
PPGL.JK,1m,108.0,50.0,50.0,35.0,-0.0092,0.0,0.0,4.3,1.0,False,0,0.5
BSML.JK,1m,105.0,50.0,50.0,35.0,-0.0094,0.0,0.0,3.4,1.0,False,0,0.5
APLN.JK,1m,105.0,50.0,50.0,35.0,0.0,0.0,0.0,4.65,1.0,False,0,0.5
TRIN.JK,1m,99.0,50.0,50.0,35.0,-0.0198,0.0,0.0,9.43,1.0,False,0,0.5
TRON.JK,1m,98.0,50.0,50.0,35.0,-0.0101,0.0,0.0,3.25,1.0,False,0,0.5
PIPA.JK,1m,87.0,50.0,50.0,35.0,-0.13,0.0,0.0,3.95,1.0,False,0,0.5
KUAS.JK,1m,71.0,50.0,50.0,35.0,0.0,0.0,0.0,4.05,1.0,False,0,0.5
PNBS.JK,1m,50.0,50.0,50.0,35.0,0.0,0.0,0.0,36.75,1.0,False,0,0.5
UANG.JK,1m,340.0,49.0,49.0,25.0,0.1184,0.474,0.0,1.01,1.0,False,0,0.5
PSAB.JK,1m,416.0,48.8,48.8,25.0,0.04,0.16,0.003,2.23,1.0,False,0,0.5
CDIA.JK,1m,1675.0,48.6,48.6,25.0,0.0806,0.323,0.001,1.56,1.0,False,0,0.5
SSMS.JK,1m,1375.0,48.6,48.6,25.0,-0.0248,0.0,0.0,2.86,1.0,False,0,0.5
SDPC.JK,1m,131.0,48.6,48.6,35.0,0.0077,0.022,0.0,1.27,1.0,True,0,0.5
MERK.JK,1m,2810.0,48.5,48.5,25.0,-0.0035,0.0,0.001,2.84,1.0,False,0,0.5
SILO.JK,1m,2160.0,48.1,48.1,25.0,0.0237,0.095,0.0,2.43,1.0,False,0,0.5
CPRO.JK,1m,51.0,48.0,48.0,35.0,-0.0192,0.0,0.0,2.8,1.0,False,0,0.5
MTWI.JK,1m,388.0,47.9,47.9,25.0,0.0486,0.195,0.005,2.0,1.0,False,0,0.5
CTRA.JK,1m,1070.0,47.7,47.7,25.0,0.07,0.28,0.002,1.64,1.0,False,0,0.5
ADMR.JK,1m,1055.0,47.6,47.6,25.0,-0.0538,0.0,0.0,2.76,1.0,False,0,0.5
SOUL.JK,1m,69.0,47.6,47.6,35.0,0.0615,0.176,0.007,2.03,1.0,False,0,0.5
INET.JK,1m,268.0,47.5,47.5,25.0,-0.0629,0.0,0.0,2.75,1.0,False,0,0.5
ARKO.JK,1m,1155.0,47.2,47.2,25.0,0.0221,0.088,0.01,0.83,1.0,True,0,0.5
INDO.JK,1m,198.0,47.2,47.2,35.0,0.0645,0.184,0.0,1.99,1.0,False,0,0.5
IDEA.JK,1m,90.0,47.2,47.2,35.0,0.0465,0.133,0.0,2.19,1.0,False,0,0.5
VINS.JK,1m,121.0,47.1,47.1,35.0,0.0254,0.073,0.009,2.38,1.0,False,0,0.5
BAYU.JK,1m,1300.0,46.8,46.8,25.0,0.0039,0.015,0.0,2.62,1.0,False,0,0.5
IRRA.JK,1m,428.0,46.6,46.6,25.0,-0.0093,0.0,0.0,2.66,1.0,False,0,0.5
ULTJ.JK,1m,1280.0,46.5,46.5,25.0,0.0,0.0,0.0,2.65,1.0,False,0,0.5
ROTI.JK,1m,810.0,46.4,46.4,25.0,0.0,0.0,0.002,2.64,1.0,False,0,0.5
GULA.JK,1m,260.0,46.4,46.4,25.0,0.0078,0.031,0.002,2.51,1.0,False,0,0.5
NRCA.JK,1m,775.0,46.0,46.0,25.0,0.0473,0.189,0.006,1.82,1.0,False,0,0.5
PSSI.JK,1m,346.0,45.5,45.5,25.0,0.0,0.0,0.0,2.55,1.0,False,0,0.5
ASII.JK,1m,5175.0,45.2,45.2,20.0,0.0197,0.099,0.0,2.12,1.0,False,0,0.5
WOOD.JK,1m,386.0,45.2,45.2,25.0,-0.0203,0.0,0.0,2.52,1.0,False,0,0.5
DGWG.JK,1m,420.0,44.9,44.9,25.0,0.0048,0.019,0.005,2.4,1.0,False,0,0.5
JSMR.JK,1m,3600.0,44.7,44.7,25.0,-0.0217,0.0,0.0,2.47,1.0,False,0,0.5
FAPA.JK,1m,5725.0,44.4,44.4,20.0,0.0088,0.044,0.0,2.27,1.0,False,0,0.5
WINE.JK,1m,214.0,44.4,44.4,25.0,0.0094,0.038,0.0,2.28,1.0,False,0,0.5
BRIS.JK,1m,2770.0,44.0,44.0,25.0,-0.0142,0.0,0.0,2.4,1.0,False,0,0.5
UNSP.JK,1m,133.0,44.0,44.0,35.0,0.0391,0.112,0.0,1.95,1.0,False,0,0.5
MCOR.JK,1m,67.0,44.0,44.0,35.0,0.0,0.0,0.0,2.4,1.0,False,0,0.5
LPIN.JK,1m,396.0,43.5,43.5,25.0,0.0,0.0,0.0,2.35,1.0,False,0,0.5
INDY.JK,1m,1400.0,43.4,43.4,25.0,0.0294,0.118,0.0,1.86,1.0,False,0,0.5
MDLA.JK,1m,208.0,43.3,43.3,25.0,0.04,0.16,0.0,1.69,1.0,False,0,0.5
MAPA.JK,1m,680.0,43.2,43.2,25.0,0.0149,0.06,0.0,2.08,1.0,False,0,0.5
SBMA.JK,1m,122.0,43.0,43.0,35.0,0.0,0.0,0.002,2.29,1.0,False,0,0.5
KINO.JK,1m,1095.0,42.9,42.9,25.0,-0.0045,0.0,0.0,2.28,1.0,False,0,0.5
MHKI.JK,1m,125.0,42.7,42.7,35.0,-0.0234,0.0,0.0,2.26,1.0,False,0,0.5
JAST.JK,1m,91.0,42.7,42.7,35.0,-0.0619,0.0,0.0,2.26,1.0,False,0,0.5
DSNG.JK,1m,1510.0,42.6,42.6,25.0,0.0307,0.123,0.002,1.75,1.0,False,0,0.5
TBIG.JK,1m,1915.0,42.5,42.5,25.0,-0.0078,0.0,0.0,2.25,1.0,False,0,0.5
IPCC.JK,1m,1105.0,42.5,42.5,25.0,-0.0134,0.0,0.0,2.24,1.0,False,0,0.5
MAHA.JK,1m,137.0,42.4,42.4,35.0,-0.0144,0.0,0.0,2.23,1.0,False,0,0.5
WINS.JK,1m,394.0,42.2,42.2,25.0,-0.0296,0.0,0.0,2.22,1.0,False,0,0.5
DMND.JK,1m,590.0,42.1,42.1,25.0,0.0172,0.069,0.002,1.92,1.0,False,0,0.5
ASLC.JK,1m,64.0,42.1,42.1,35.0,0.0159,0.045,0.0,2.02,1.0,False,0,0.5
RIGS.JK,1m,750.0,41.9,41.9,25.0,0.0417,0.167,0.007,1.49,1.0,False,0,0.5
MARK.JK,1m,660.0,41.7,41.7,25.0,-0.0365,0.0,0.0,2.16,1.0,False,0,0.5
DSSA.JK,1m,86700.0,41.5,41.5,20.0,0.0285,0.142,0.0,1.57,1.0,False,13,0.5
WEGE.JK,1m,67.0,41.4,41.4,35.0,-0.0822,0.0,0.002,2.12,1.0,False,0,0.5
ELPI.JK,1m,318.0,41.3,41.3,25.0,-0.0185,0.0,0.0,2.13,1.0,False,0,0.5
LTLS.JK,1m,860.0,41.2,41.2,25.0,-0.0171,0.0,0.0,2.11,1.0,False,0,0.5
MKTR.JK,1m,108.0,41.2,41.2,35.0,0.0,0.0,0.0,2.11,1.0,False,0,0.5
LPGI.JK,1m,426.0,41.1,41.1,25.0,0.0143,0.057,0.0,1.87,1.0,False,0,0.5
PNLF.JK,1m,262.0,41.1,41.1,25.0,-0.0224,0.0,0.0,2.1,1.0,False,0,0.5
SMMT.JK,1m,995.0,40.9,40.9,25.0,-0.0245,0.0,0.005,2.06,1.0,False,0,0.5
NZIA.JK,1m,104.0,40.9,40.9,35.0,0.0,0.0,0.0,2.08,1.0,False,0,0.5
FUJI.JK,1m,430.0,40.7,40.7,25.0,0.0488,0.195,0.006,1.26,1.0,False,0,0.5
SMDR.JK,1m,348.0,40.6,40.6,25.0,-0.0057,0.0,0.002,2.04,1.0,False,0,0.5
MITI.JK,1m,183.0,40.6,40.6,35.0,-0.0108,0.0,0.0,2.05,1.0,False,0,0.5
DGNS.JK,1m,152.0,40.6,40.6,35.0,0.0066,0.019,0.001,1.97,1.0,False,0,0.5
DOSS.JK,1m,133.0,40.5,40.5,35.0,-0.0292,0.0,0.0,2.04,1.0,False,0,0.5
MGLV.JK,1m,745.0,40.4,40.4,25.0,0.0643,0.257,0.066,0.77,1.0,False,0,0.5
TPMA.JK,1m,595.0,40.3,40.3,25.0,0.0085,0.034,0.0,1.88,1.0,False,0,0.5
BBRM.JK,1m,76.0,40.2,40.2,35.0,0.0133,0.038,0.003,1.84,1.0,False,0,0.5
ASGR.JK,1m,1090.0,40.1,40.1,25.0,0.0283,0.113,0.001,1.54,1.0,False,0,0.5
MTEL.JK,1m,650.0,40.1,40.1,25.0,-0.0152,0.0,0.0,2.0,1.0,False,0,0.5
AMFG.JK,1m,3060.0,40.0,40.0,25.0,-0.0129,0.0,0.001,1.99,1.0,False,0,0.5
DRMA.JK,1m,965.0,40.0,40.0,25.0,0.0,0.0,0.0,1.98,1.0,False,0,0.5
POWR.JK,1m,705.0,40.0,40.0,25.0,0.0,0.0,0.002,1.98,1.0,False,0,0.5
MSJA.JK,1m,306.0,40.0,40.0,25.0,0.0066,0.026,0.002,1.87,1.0,False,0,0.5
EKAD.JK,1m,183.0,40.0,40.0,35.0,-0.0054,0.0,0.0,1.99,1.0,False,0,0.5
AISA.JK,1m,127.0,40.0,40.0,35.0,0.0,0.0,0.0,1.99,1.0,False,0,0.5
MDKA.JK,1m,2280.0,39.9,39.9,25.0,-0.013,0.0,0.003,1.97,1.0,False,0,0.5
ELSA.JK,1m,484.0,39.9,39.9,25.0,0.0,0.0,0.0,1.97,1.0,False,0,0.5
TKIM.JK,1m,7150.0,39.8,39.8,20.0,-0.0305,0.0,0.0,1.97,1.0,False,0,0.5
PGLI.JK,1m,163.0,39.8,39.8,35.0,-0.0121,0.0,0.001,1.96,1.0,False,0,0.5
MEDC.JK,1m,1260.0,39.6,39.6,25.0,0.0286,0.114,0.0,1.48,1.0,False,0,0.5
STAA.JK,1m,1010.0,39.5,39.5,25.0,0.0202,0.081,0.0,1.61,1.0,False,0,0.5
CLPI.JK,1m,1255.0,39.3,39.3,25.0,0.004,0.016,0.002,1.84,1.0,False,0,0.5
OBAT.JK,1m,396.0,39.3,39.3,25.0,0.0154,0.062,0.001,1.66,1.0,False,0,0.5
TOTO.JK,1m,248.0,39.3,39.3,25.0,0.0,0.0,0.0,1.92,1.0,False,0,0.5
JSPT.JK,1m,4000.0,38.8,38.8,25.0,-0.0244,0.0,0.0,1.86,1.0,False,0,0.5
INRU.JK,1m,925.0,38.8,38.8,25.0,0.0632,0.253,0.002,0.85,1.0,False,0,0.5
JECC.JK,1m,855.0,38.8,38.8,25.0,0.024,0.096,0.009,1.45,1.0,False,0,0.5
PTPS.JK,1m,158.0,38.7,38.7,35.0,0.0064,0.018,0.0,1.78,1.0,False,0,0.5
CASH.JK,1m,70.0,38.7,38.7,35.0,0.0145,0.041,0.0,1.69,1.0,False,0,0.5
HBAT.JK,1m,98.0,38.6,38.6,35.0,-0.0392,0.0,0.0,1.84,1.0,False,0,0.5
MSTI.JK,1m,1655.0,38.5,38.5,25.0,-0.003,0.0,0.002,1.82,1.0,False,0,0.5
AMAN.JK,1m,113.0,38.5,38.5,35.0,-0.0174,0.0,0.002,1.83,1.0,False,0,0.5
SRAJ.JK,1m,5500.0,38.4,38.4,20.0,0.0476,0.238,0.0,0.87,1.0,False,0,0.5
DMMX.JK,1m,346.0,38.4,38.4,25.0,-0.0335,0.0,0.004,1.81,1.0,False,0,0.5
AGAR.JK,1m,246.0,38.4,38.4,25.0,0.0165,0.066,0.005,1.53,1.0,False,0,0.5
WIRG.JK,1m,126.0,38.4,38.4,35.0,-0.0382,0.0,0.0,1.82,1.0,False,0,0.5
KLBF.JK,1m,1400.0,38.3,38.3,25.0,0.0145,0.058,0.0,1.57,1.0,False,0,0.5
NCKL.JK,1m,995.0,38.3,38.3,25.0,0.0311,0.124,0.002,1.31,1.0,False,0,0.5
BELI.JK,1m,380.0,38.3,38.3,25.0,-0.0052,0.0,0.003,1.8,1.0,False,0,0.5
FUTR.JK,1m,158.0,38.3,38.3,35.0,0.0748,0.214,0.003,0.94,1.0,False,0,0.5
CSRA.JK,1m,720.0,38.2,38.2,25.0,-0.027,0.0,0.0,1.79,1.0,False,0,0.5
INCI.JK,1m,595.0,38.2,38.2,25.0,0.0085,0.034,0.0,1.66,1.0,False,0,0.5
MCOL.JK,1m,4000.0,38.1,38.1,25.0,-0.0025,0.0,0.0,1.78,1.0,False,0,0.5
ITMG.JK,1m,22475.0,37.8,37.8,20.0,-0.0033,0.0,0.0,1.76,1.0,False,0,0.5
ADRO.JK,1m,1830.0,37.8,37.8,25.0,-0.0317,0.0,0.0,1.76,1.0,False,0,0.5
TLDN.JK,1m,625.0,37.7,37.7,25.0,0.0081,0.032,0.002,1.6,1.0,False,0,0.5
SCNP.JK,1m,177.0,37.7,37.7,35.0,0.0114,0.033,0.001,1.61,1.0,False,0,0.5
MTLA.JK,1m,446.0,37.5,37.5,25.0,0.009,0.036,0.0,1.57,1.0,False,0,0.5
AGRO.JK,1m,240.0,37.5,37.5,25.0,-0.0625,0.0,0.0,1.72,1.0,False,0,0.5
PNIN.JK,1m,915.0,37.3,37.3,25.0,-0.0054,0.0,0.003,1.69,1.0,False,0,0.5
SIDO.JK,1m,520.0,37.3,37.3,25.0,0.0,0.0,0.0,1.7,1.0,False,0,0.5
CCSI.JK,1m,322.0,37.3,37.3,25.0,0.0,0.0,0.0,1.7,1.0,False,0,0.5
HGII.JK,1m,146.0,37.1,37.1,35.0,0.0069,0.02,0.003,1.6,1.0,False,0,0.5
HAJJ.JK,1m,110.0,37.1,37.1,35.0,-0.0179,0.0,0.0,1.68,1.0,False,0,0.5
BIRD.JK,1m,1895.0,36.9,36.9,25.0,-0.0026,0.0,0.0,1.66,1.0,False,0,0.5
CLAY.JK,1m,1305.0,36.9,36.9,25.0,0.0038,0.015,0.011,1.56,1.0,False,0,0.5
RUIS.JK,1m,216.0,36.9,36.9,25.0,0.0,0.0,0.0,1.66,1.0,False,0,0.5
LAPD.JK,1m,99.0,36.9,36.9,35.0,-0.01,0.0,0.0,1.66,1.0,False,0,0.5
ARTO.JK,1m,2160.0,36.6,36.6,25.0,-0.04,0.0,0.0,1.63,1.0,False,0,0.5
RCCC.JK,1m,129.0,36.6,36.6,35.0,0.075,0.214,0.0,0.77,1.0,False,0,0.5
ATIC.JK,1m,406.0,36.5,36.5,25.0,-0.0049,0.0,0.0,1.62,1.0,False,0,0.5
